발생년도,경찰서,소계,살인,강도,절도,폭력
2020,서울중부서,1944,1,3,943,997
2020,서울종로서,1579,9,4,602,964
2020,서울남대문서,1281,1,2,699,579
2020,서울서대문서,2374,3,2,1077,1292
2020,서울혜화서,1331,0,3,581,747
2020,서울용산서,2739,5,6,1111,1617
2020,서울성북서,1113,0,2,439,672
2020,서울동대문서,3240,10,6,1440,1784
2020,서울마포서,3340,9,4,1483,1844
2020,서울영등포서,4902,7,6,2188,2701
2020,서울성동서,2247,5,3,1016,1223
2020,서울동작서,2974,1,1,1341,1631
2020,서울광진서,3346,2,4,1664,1676
2020,서울서부서,1286,3,3,532,748
2020,서울강북서,2611,9,5,780,1817
2020,서울금천서,2481,4,7,999,1471
2020,서울중랑서,3543,10,5,1506,2022
2020,서울강남서,4241,5,12,1941,2283
2020,서울관악서,4858,12,3,2229,2614
2020,서울강서서,4150,10,6,1689,2445
2020,서울강동서,3600,3,15,1640,1942
2020,서울종암서,1312,4,1,549,758
2020,서울구로서,3978,6,5,1763,2204
2020,서울서초서,3432,4,5,1673,1750
2020,서울양천서,3107,5,3,1517,1582
2020,서울송파서,5123,6,13,2429,2675
2020,서울노원서,3574,4,3,1404,2163
2020,서울방배서,773,1,1,348,423
2020,서울은평서,1933,1,1,839,1092
2020,서울도봉서,2097,0,2,861,1234
2020,서울수서서,2407,1,2,1010,1394
2020,부산중부서,1331,1,0,686,644
2020,부산동래서,2350,5,2,1018,1325
2020,부산영도서,981,0,0,366,615
2020,부산동부서,1379,2,0,571,806
2020,부산진서,5494,3,9,2316,3166
2020,부산서부서,1041,1,1,458,581
2020,부산남부서,3309,7,4,1346,1952
2020,부산해운대서,3061,3,0,1336,1722
2020,부산사상서,2401,7,6,968,1420
2020,부산금정서,1926,2,2,943,979
2020,부산사하서,2487,6,0,1034,1447
2020,부산연제서,2783,5,7,1136,1635
2020,부산강서서,965,3,3,443,516
2020,부산북부서,2474,5,4,1030,1435
2020,부산기장서,1329,1,1,517,810
2020,대구중부서,2351,0,3,1214,1134
2020,대구동부서,2924,10,10,1210,1694
2020,대구서부서,2337,1,5,743,1588
2020,대구남부서,1616,2,4,677,933
2020,대구북부서,1852,2,4,767,1079
2020,대구수성서,2429,1,0,1011,1417
2020,대구달서서,2023,3,2,847,1171
2020,대구성서서,2421,3,4,1022,1392
2020,대구달성서,1301,3,1,522,775
2020,대구강북서,1750,3,0,659,1088
2020,인천중부서,2336,6,4,824,1502
2020,인천미추홀서,4139,12,8,1352,2767
2020,인천남동서,3120,1,7,1039,2073
2020,인천부평서,2792,5,8,984,1795
2020,인천서부서,4234,5,4,1342,2883
2020,인천계양서,2497,1,5,757,1734
2020,인천강화서,430,0,1,130,299
2020,인천연수서,2403,2,5,865,1531
2020,인천삼산서,3308,2,2,1146,2158
2020,인천논현서,1591,2,1,544,1044
2020,광주동부서,1404,0,6,634,764
2020,광주서부서,2905,2,5,1219,1679
2020,광주북부서,3368,1,5,1320,2042
2020,광주광산서,3141,4,5,1151,1981
2020,광주남부서,1521,3,3,615,900
2020,대전중부서,2638,2,3,1028,1605
2020,대전동부서,2396,1,4,1036,1355
2020,대전서부서,2218,6,2,777,1433
2020,대전대덕서,1764,0,1,637,1126
2020,대전둔산서,2340,5,2,857,1476
2020,대전유성서,2197,4,2,923,1268
2020,울산남부서,2986,4,5,1002,1975
2020,울산중부서,2479,4,3,906,1566
2020,울산울주서,1441,2,1,583,855
2020,울산동부서,1603,2,5,568,1028
2020,울산북부서,123,0,0,42,81
2020,세종서,1760,8,2,876,874
2020,경기수원중부서,3400,5,6,1318,2071
2020,경기수원남부서,5293,8,1,2202,3082
2020,경기수원서부서,3241,2,2,1360,1877
2020,경기안양동안서,1956,1,2,790,1163
2020,경기안양만안서,2633,3,3,1032,1595
2020,경기군포서,1719,3,3,711,1002
2020,경기성남수정서,2479,7,2,1068,1402
2020,경기성남중원서,2217,0,6,824,1387
2020,경기분당서,2597,5,7,1128,1457
2020,경기부천소사서,2159,3,1,918,1237
2020,경기부천원미서,4906,6,15,2084,2801
2020,경기부천오정서,1627,2,0,558,1067
2020,경기광명서,2749,3,4,1092,1650
2020,경기안산단원서,4948,8,11,1873,3056
2020,경기안산상록서,2918,3,5,1140,1770
2020,경기시흥서,4816,13,7,1775,3021
2020,경기평택서,6197,11,12,2056,4118
2020,경기오산서,2236,2,1,889,1344
2020,경기화성서부서,2971,5,3,950,2013
2020,경기용인동부서,4011,5,6,1762,2238
2020,경기용인서부서,1891,2,1,827,1061
2020,경기광주서,2700,4,0,809,1887
2020,경기과천서,275,0,0,126,149
2020,경기의왕서,701,1,0,238,462
2020,경기하남서,1956,0,2,822,1132
2020,경기이천서,2145,1,1,775,1368
2020,경기김포서,3059,2,7,1189,1861
2020,경기안성서,2063,6,4,790,1263
2020,경기여주서,1101,4,2,395,700
2020,경기양평서,950,0,0,312,638
2020,경기화성동탄서,2896,3,1,951,1941
2020,경기의정부서,4617,11,7,1505,3094
2020,경기고양서,3170,5,3,1085,2077
2020,경기일산동부서,2001,1,6,634,1360
2020,경기일산서부서,1339,0,1,453,885
2020,경기남양주남부서,3860,5,8,1351,2496
2020,경기남양주북부서,0,0,0,0,0
2020,경기파주서,2934,8,4,985,1937
2020,경기양주서,1742,5,4,503,1230
2020,경기동두천서,878,1,5,266,606
2020,경기구리서,1700,1,2,621,1076
2020,경기포천서,1283,1,1,415,866
2020,경기가평서,537,0,2,116,419
2020,경기연천서,297,3,0,99,195
2020,강원강릉서,1933,2,8,638,1285
2020,강원고성서,186,1,0,51,134
2020,강원동해서,657,2,0,184,471
2020,강원삼척서,520,2,1,137,380
2020,강원속초서,1277,1,2,381,893
2020,강원양구서,117,1,0,48,68
2020,강원영월서,225,3,1,66,155
2020,강원원주서,2788,5,7,1150,1626
2020,강원인제서,119,2,0,37,80
2020,강원정선서,316,0,0,135,181
2020,강원철원서,200,1,0,81,118
2020,강원춘천서,2286,6,1,945,1334
2020,강원태백서,321,2,0,75,244
2020,강원평창서,287,0,0,79,208
2020,강원홍천서,545,4,1,178,362
2020,강원화천서,154,1,0,46,107
2020,강원횡성서,258,2,0,96,160
2020,충북괴산서,760,2,9,494,255
2020,충북단양서,227,0,0,85,142
2020,충북보은서,215,0,0,90,125
2020,충북영동서,266,1,2,91,172
2020,충북옥천서,286,0,0,81,205
2020,충북음성서,836,0,2,261,573
2020,충북제천서,1003,3,3,373,624
2020,충북진천서,703,1,0,233,469
2020,충북청주청원서,2685,2,5,997,1681
2020,충북청주흥덕서,2869,2,2,1228,1637
2020,충북충주서,1668,4,3,790,871
2020,충북청주상당서,2162,1,2,986,1173
2020,충남천안서북서,3362,6,8,1544,1804
2020,충남천안동남서,2544,2,6,1322,1214
2020,충남서산서,1511,2,1,589,919
2020,충남아산서,3096,7,15,1201,1873
2020,충남논산서,1098,5,1,483,609
2020,충남공주서,744,1,0,277,466
2020,충남보령서,798,2,2,316,478
2020,충남당진서,1299,3,3,525,768
2020,충남홍성서,683,0,1,328,354
2020,충남예산서,591,1,0,297,293
2020,충남부여서,450,2,0,242,206
2020,충남서천서,315,1,0,134,180
2020,충남금산서,299,1,1,119,178
2020,충남청양서,149,0,1,68,80
2020,충남태안서,427,2,1,178,246
2020,전북고창서,396,1,0,139,256
2020,전북군산서,2532,3,2,1014,1513
2020,전북김제서,640,4,0,216,420
2020,전북남원서,559,3,4,208,344
2020,전북무주서,125,0,0,51,74
2020,전북부안서,348,0,1,127,220
2020,전북순창서,145,0,1,57,87
2020,전북완주서,508,3,0,189,316
2020,전북익산서,2497,4,0,1081,1412
2020,전북임실서,109,0,0,36,73
2020,전북장수서,97,0,0,29,68
2020,전북전주덕진서,2490,5,5,1077,1403
2020,전북전주완산서,2798,3,5,1114,1676
2020,전북정읍서,903,4,1,358,540
2020,전북진안서,104,3,0,48,53
2020,전남목포서,2829,0,5,1108,1716
2020,전남여수서,2342,6,4,850,1482
2020,전남순천서,2392,4,0,909,1479
2020,전남나주서,882,3,2,415,462
2020,전남광양서,1142,2,1,407,732
2020,전남고흥서,471,0,0,161,310
2020,전남해남서,483,3,0,173,307
2020,전남장흥서,354,1,0,122,231
2020,전남보성서,249,1,1,101,146
2020,전남영광서,383,3,0,138,242
2020,전남화순서,363,1,0,151,211
2020,전남함평서,212,1,0,87,124
2020,전남영암서,477,1,0,219,257
2020,전남장성서,259,1,0,117,141
2020,전남강진서,308,0,0,117,191
2020,전남담양서,265,3,0,107,155
2020,전남곡성서,131,0,0,53,78
2020,전남완도서,468,0,0,161,307
2020,전남무안서,572,0,1,278,293
2020,전남진도서,252,1,0,96,155
2020,전남구례서,180,1,0,68,111
2020,경북경주서,1995,2,1,885,1107
2020,경북포항북부서,2090,4,2,800,1284
2020,경북포항남부서,2263,3,4,1152,1104
2020,경북구미서,3592,4,5,1788,1795
2020,경북경산서,2380,1,0,1016,1363
2020,경북안동서,1526,4,1,443,1078
2020,경북김천서,1309,1,0,432,876
2020,경북영주서,644,1,1,216,426
2020,경북영천서,924,3,0,380,541
2020,경북상주서,712,1,1,342,368
2020,경북문경서,472,0,0,166,306
2020,경북칠곡서,863,2,1,344,516
2020,경북의성서,322,0,0,111,211
2020,경북청도서,293,0,0,83,210
2020,경북영덕서,355,1,0,157,197
2020,경북울진서,312,1,0,91,220
2020,경북봉화서,156,0,0,39,117
2020,경북예천서,295,1,0,88,206
2020,경북성주서,283,0,1,89,193
2020,경북청송서,237,1,0,74,162
2020,경북영양서,117,0,0,41,76
2020,경북군위서,132,0,0,53,79
2020,경북고령서,197,0,0,74,123
2020,경북울릉서,40,0,0,7,33
2020,경남창원중부서,2189,3,2,971,1213
2020,경남창원서부서,2107,3,8,955,1141
2020,경남마산중부서,1287,3,2,521,761
2020,경남마산동부서,2181,5,2,845,1329
2020,경남진주서,3956,5,8,2051,1892
2020,경남김해중부서,3274,6,3,1548,1717
2020,경남김해서부서,1948,7,1,893,1047
2020,경남양산서,3010,6,7,1340,1657
2020,경남거제서,2310,9,0,828,1473
2020,경남진해서,1372,3,2,609,758
2020,경남통영서,1385,0,2,466,917
2020,경남사천서,1065,8,0,407,650
2020,경남밀양서,794,0,0,314,480
2020,경남거창서,387,0,0,160,227
2020,경남합천서,239,0,1,60,178
2020,경남창녕서,291,0,1,109,181
2020,경남고성서,476,1,0,169,306
2020,경남하동서,222,0,0,84,138
2020,경남남해서,208,1,1,78,128
2020,경남함양서,185,1,2,58,124
2020,경남산청서,175,0,0,64,111
2020,경남함안서,333,2,0,123,208
2020,경남의령서,170,0,0,61,109
2020,제주서귀포서,2489,5,3,1147,1334
2020,제주동부서,3277,5,6,1121,2145
2020,제주서부서,2973,3,5,1134,1831
2017,서울중부서,2265,0,6,1061,1198
2017,서울종로서,2140,5,5,910,1220
2017,서울남대문서,1652,1,3,785,863
2017,서울서대문서,2911,4,1,1230,1676
2017,서울혜화서,1664,2,5,734,923
2017,서울용산서,3733,1,5,1346,2381
2017,서울성북서,1716,5,5,701,1005
2017,서울동대문서,3810,11,3,1547,2249
2017,서울마포서,4778,3,8,2094,2673
2017,서울영등포서,5514,15,5,2304,3190
2017,서울성동서,2635,1,3,1072,1559
2017,서울동작서,2934,1,7,1226,1700
2017,서울광진서,4385,6,13,2220,2146
2017,서울서부서,1462,3,2,553,904
2017,서울강북서,3185,8,7,1014,2156
2017,서울금천서,3025,5,5,1141,1874
2017,서울중랑서,4399,5,3,1533,2858
2017,서울강남서,4317,6,13,2069,2229
2017,서울관악서,5146,8,7,1979,3152
2017,서울강서서,4819,11,4,1888,2916
2017,서울강동서,4089,5,10,1645,2429
2017,서울종암서,1545,2,3,643,897
2017,서울구로서,4567,7,8,1725,2827
2017,서울서초서,3354,8,9,1448,1889
2017,서울양천서,3744,3,3,1590,2148
2017,서울송파서,5288,6,1,2274,3007
2017,서울노원서,4029,4,9,1538,2478
2017,서울방배서,884,1,4,364,515
2017,서울은평서,2191,3,2,834,1352
2017,서울도봉서,1895,1,3,633,1258
2017,서울수서서,2796,1,7,1061,1727
2017,부산중부서,1848,1,6,1012,829
2017,부산동래서,2533,3,7,1102,1421
2017,부산영도서,1061,1,3,410,647
2017,부산동부서,1552,4,4,650,894
2017,부산진서,5753,9,13,2459,3272
2017,부산서부서,1383,1,3,689,690
2017,부산남부서,3905,12,18,1708,2167
2017,부산해운대서,3799,5,7,1547,2240
2017,부산사상서,2673,7,13,1279,1374
2017,부산금정서,1973,1,4,919,1049
2017,부산사하서,2782,9,6,1079,1688
2017,부산연제서,2570,2,6,1012,1550
2017,부산강서서,987,1,1,514,471
2017,부산북부서,2358,4,8,898,1448
2017,부산기장서,1271,1,2,526,742
2017,대구중부서,2140,4,4,1103,1029
2017,대구동부서,3099,6,6,1252,1835
2017,대구서부서,2158,4,4,701,1449
2017,대구남부서,1903,1,7,650,1245
2017,대구북부서,1804,4,3,673,1124
2017,대구수성서,2881,7,6,938,1930
2017,대구달서서,2306,6,1,776,1523
2017,대구성서서,2903,5,6,1253,1639
2017,대구달성서,1332,7,0,409,916
2017,대구강북서,1554,2,0,556,996
2017,인천중부서,2236,2,8,744,1482
2017,인천남부서,5088,5,23,1633,3427
2017,인천남동서,4520,6,14,1388,3112
2017,인천부평서,2824,3,5,940,1876
2017,인천서부서,4122,4,10,1193,2915
2017,인천계양서,2696,7,7,819,1863
2017,인천강화서,478,3,0,103,372
2017,인천연수서,2356,2,2,837,1515
2017,인천삼산서,3891,3,3,1342,2543
2017,인천논현서,475,0,1,193,281
2017,광주동부서,1722,3,5,624,1090
2017,광주서부서,3442,0,7,1142,2293
2017,광주북부서,3730,3,5,1546,2176
2017,광주광산서,2851,3,12,927,1909
2017,광주남부서,1478,0,4,576,898
2017,대전중부서,3221,5,20,1145,2051
2017,대전동부서,2943,7,4,1288,1644
2017,대전서부서,2279,2,8,896,1373
2017,대전대덕서,1808,2,5,769,1032
2017,대전둔산서,2474,1,3,1043,1427
2017,대전유성서,2353,5,2,1073,1273
2017,울산남부서,4134,2,14,1232,2886
2017,울산중부서,2933,10,4,972,1947
2017,울산울주서,1886,3,4,652,1227
2017,울산동부서,2001,2,3,709,1287
2017,경기수원중부서,4115,4,9,1532,2570
2017,경기수원남부서,5839,6,8,2500,3325
2017,경기수원서부서,3517,4,8,1472,2033
2017,경기안양동안서,2462,3,5,861,1593
2017,경기안양만안서,2952,1,8,944,1999
2017,경기군포서,2055,2,4,763,1286
2017,경기성남수정서,2468,11,5,806,1646
2017,경기성남중원서,2558,6,6,999,1547
2017,경기분당서,3296,2,3,1323,1968
2017,경기부천소사서,1631,1,2,784,844
2017,경기부천원미서,5991,3,10,2690,3288
2017,경기부천오정서,1584,0,1,612,971
2017,경기광명서,2832,1,1,1051,1779
2017,경기안산단원서,4923,14,9,1765,3135
2017,경기안산상록서,3290,6,8,1136,2140
2017,경기시흥서,4180,6,8,1295,2871
2017,경기평택서,5995,8,9,2067,3911
2017,경기화성동부서,5128,12,7,1938,3171
2017,경기화성서부서,2541,9,4,982,1546
2017,경기용인동부서,3734,8,8,1456,2262
2017,경기용인서부서,2231,2,4,861,1364
2017,경기광주서,2692,6,4,850,1832
2017,경기과천서,454,0,1,202,251
2017,경기의왕서,705,0,3,208,494
2017,경기하남서,1268,2,1,507,758
2017,경기이천서,2083,8,2,619,1454
2017,경기김포서,2236,4,3,926,1303
2017,경기안성서,1757,2,3,618,1134
2017,경기여주서,1141,2,0,408,731
2017,경기양평서,799,4,2,268,525
2017,경기의정부서,4948,6,15,1602,3325
2017,경기고양서,3127,5,8,961,2153
2017,경기일산동부서,2773,3,5,949,1816
2017,경기일산서부서,1500,1,1,574,924
2017,경기남양주서,4375,8,7,1363,2997
2017,경기파주서,2884,6,6,1028,1844
2017,경기양주서,1767,1,4,508,1254
2017,경기동두천서,1045,0,3,350,692
2017,경기구리서,2244,4,4,800,1436
2017,경기포천서,1635,2,5,504,1124
2017,경기가평서,669,2,1,216,450
2017,경기연천서,336,3,1,119,213
2017,강원강릉서,2440,2,6,672,1760
2017,강원고성서,170,1,0,36,133
2017,강원동해서,874,3,3,206,662
2017,강원삼척서,682,2,0,224,456
2017,강원속초서,1329,4,1,385,939
2017,강원양구서,114,0,1,48,65
2017,강원영월서,207,1,0,80,126
2017,강원원주서,4342,5,7,1407,2923
2017,강원인제서,157,2,0,42,113
2017,강원정선서,416,0,1,203,212
2017,강원철원서,241,1,0,96,144
2017,강원춘천서,2661,6,5,1067,1583
2017,강원태백서,406,1,0,111,294
2017,강원평창서,299,2,1,108,188
2017,강원홍천서,654,1,0,256,397
2017,강원화천서,138,1,0,58,79
2017,강원횡성서,430,0,2,249,179
2017,충북괴산서,543,2,2,289,250
2017,충북단양서,195,0,0,69,126
2017,충북보은서,205,3,0,84,118
2017,충북영동서,263,1,0,88,174
2017,충북옥천서,284,2,2,102,178
2017,충북음성서,663,0,2,208,453
2017,충북제천서,1179,6,4,479,690
2017,충북진천서,634,0,1,241,392
2017,충북청주청원서,2477,5,5,919,1548
2017,충북청주흥덕서,3374,8,2,1366,1998
2017,충북충주서,1728,6,5,780,937
2017,충북청주상당서,2252,2,4,913,1333
2017,충남천안서북서,4080,9,10,1513,2548
2017,충남천안동남서,2807,7,6,1342,1452
2017,충남서산서,2155,5,0,868,1282
2017,충남아산서,3336,7,8,1423,1898
2017,충남논산서,1193,3,3,485,702
2017,충남공주서,954,0,1,533,420
2017,충남보령서,723,2,1,307,413
2017,충남당진서,1315,3,2,551,759
2017,충남세종서,1308,6,3,584,715
2017,충남홍성서,673,2,0,264,407
2017,충남예산서,512,3,0,214,295
2017,충남부여서,381,1,0,204,176
2017,충남서천서,295,2,1,138,154
2017,충남금산서,287,0,1,145,141
2017,충남청양서,144,1,0,71,72
2017,충남태안서,8,0,0,3,5
2017,전북고창서,380,0,0,174,206
2017,전북군산서,2651,6,6,1025,1614
2017,전북김제서,601,2,1,176,422
2017,전북남원서,705,1,0,259,445
2017,전북무주서,169,1,1,60,107
2017,전북부안서,473,0,0,198,275
2017,전북순창서,145,0,0,58,87
2017,전북완주서,528,1,0,202,325
2017,전북익산서,2409,6,7,911,1485
2017,전북임실서,118,0,1,45,72
2017,전북장수서,121,0,0,49,72
2017,전북전주덕진서,2402,3,6,976,1417
2017,전북전주완산서,2700,4,5,986,1705
2017,전북정읍서,814,0,0,277,537
2017,전북진안서,104,0,0,42,62
2017,전남목포서,3064,8,5,1015,2036
2017,전남여수서,2738,4,5,821,1908
2017,전남순천서,2525,5,4,809,1707
2017,전남나주서,658,2,1,273,382
2017,전남광양서,1080,0,2,353,725
2017,전남고흥서,503,2,0,187,314
2017,전남해남서,486,1,0,169,316
2017,전남장흥서,335,2,0,123,210
2017,전남보성서,282,3,0,104,175
2017,전남영광서,405,0,0,139,266
2017,전남화순서,335,2,1,95,237
2017,전남함평서,162,0,0,88,74
2017,전남영암서,334,0,0,147,187
2017,전남장성서,290,1,1,116,172
2017,전남강진서,225,1,0,69,155
2017,전남담양서,291,3,0,134,154
2017,전남곡성서,157,0,0,65,92
2017,전남완도서,413,2,0,92,319
2017,전남무안서,453,0,1,214,238
2017,전남진도서,233,0,0,82,151
2017,전남구례서,188,0,0,62,126
2017,경북경주서,2132,5,11,975,1141
2017,경북포항북부서,2421,1,8,967,1445
2017,경북포항남부서,2376,1,8,1028,1339
2017,경북구미서,3508,9,8,1566,1925
2017,경북경산서,2645,0,4,1051,1590
2017,경북안동서,1430,2,1,479,948
2017,경북김천서,1038,4,3,366,665
2017,경북영주서,641,1,1,207,432
2017,경북영천서,819,2,1,330,486
2017,경북상주서,641,3,1,270,367
2017,경북문경서,514,1,0,153,360
2017,경북칠곡서,749,4,1,276,468
2017,경북의성서,290,0,0,125,165
2017,경북청도서,306,2,0,128,176
2017,경북영덕서,353,4,1,171,177
2017,경북울진서,266,2,0,109,155
2017,경북봉화서,94,0,0,29,65
2017,경북예천서,176,2,0,70,104
2017,경북성주서,308,1,0,137,170
2017,경북청송서,178,0,0,57,121
2017,경북영양서,108,3,0,23,82
2017,경북군위서,111,0,0,51,60
2017,경북고령서,160,0,0,58,102
2017,경북울릉서,60,0,0,9,51
2017,경남창원중부서,2353,5,3,1016,1329
2017,경남창원서부서,1756,3,7,732,1014
2017,경남마산중부서,1349,4,7,489,849
2017,경남마산동부서,1885,2,3,760,1120
2017,경남진주서,3333,9,4,1641,1679
2017,경남김해중부서,3560,5,7,1505,2043
2017,경남김해서부서,1806,3,1,762,1040
2017,경남양산서,2135,5,7,832,1291
2017,경남거제서,2533,7,4,977,1545
2017,경남진해서,1593,1,1,549,1042
2017,경남통영서,1349,3,4,479,863
2017,경남사천서,860,4,1,232,623
2017,경남밀양서,740,0,2,286,452
2017,경남거창서,336,1,1,112,222
2017,경남합천서,202,0,1,49,152
2017,경남창녕서,322,2,1,119,200
2017,경남고성서,426,4,1,174,247
2017,경남하동서,242,1,1,76,164
2017,경남남해서,216,1,1,99,115
2017,경남함양서,177,2,0,68,107
2017,경남산청서,172,1,0,68,103
2017,경남함안서,380,2,2,126,250
2017,경남의령서,178,0,0,60,118
2017,제주서귀포서,2293,2,2,858,1431
2017,제주동부서,3218,9,22,1214,1973
2017,제주서부서,3028,7,11,1141,1869
2016,서울중부서,2544,2,3,1204,1335
2016,서울종로서,2253,4,6,952,1291
2016,서울남대문서,1842,1,5,946,890
2016,서울서대문서,3490,6,5,1503,1976
2016,서울혜화서,1968,2,6,988,972
2016,서울용산서,3886,4,9,1489,2384
2016,서울성북서,1971,2,3,790,1176
2016,서울동대문서,4597,5,10,1940,2642
2016,서울마포서,5474,4,4,2527,2939
2016,서울영등포서,5966,13,19,2341,3593
2016,서울성동서,2922,4,3,1296,1619
2016,서울동작서,2902,8,7,1226,1661
2016,서울광진서,5043,4,11,2636,2392
2016,서울서부서,1917,4,4,781,1128
2016,서울강북서,4012,7,5,1222,2778
2016,서울금천서,3470,6,7,1264,2193
2016,서울중랑서,4877,8,14,1691,3164
2016,서울강남서,4801,3,24,2438,2336
2016,서울관악서,5356,6,12,2103,3235
2016,서울강서서,5175,9,10,1952,3204
2016,서울강동서,4302,4,14,1754,2530
2016,서울종암서,1619,2,5,680,932
2016,서울구로서,5093,9,10,1910,3164
2016,서울서초서,3584,4,9,1733,1838
2016,서울양천서,3981,5,7,1719,2250
2016,서울송파서,5856,9,15,2543,3289
2016,서울노원서,4384,5,6,1857,2516
2016,서울방배서,977,1,4,472,500
2016,서울은평서,2428,2,5,885,1536
2016,서울도봉서,2315,3,5,866,1441
2016,서울수서서,2832,2,15,1149,1666
2016,부산중부서,1781,6,10,902,863
2016,부산동래서,2600,3,21,1123,1453
2016,부산영도서,1266,4,7,551,704
2016,부산동부서,1614,6,8,749,851
2016,부산진서,6282,5,16,3017,3244
2016,부산서부서,1466,1,2,773,690
2016,부산남부서,3837,7,10,1689,2131
2016,부산해운대서,3702,5,11,1576,2110
2016,부산사상서,2550,9,10,1160,1371
2016,부산금정서,2167,4,6,1017,1140
2016,부산사하서,2791,9,7,1149,1626
2016,부산연제서,2567,2,10,974,1581
2016,부산강서서,945,2,3,501,439
2016,부산북부서,2576,6,12,1034,1524
2016,부산기장서,1224,1,4,551,668
2016,대구중부서,2280,0,2,1158,1120
2016,대구동부서,3456,3,8,1209,2236
2016,대구서부서,2501,7,5,756,1733
2016,대구남부서,1863,4,5,701,1153
2016,대구북부서,2089,1,4,894,1190
2016,대구수성서,3323,3,10,1214,2096
2016,대구달서서,2301,3,3,850,1445
2016,대구성서서,3359,5,5,1413,1936
2016,대구달성서,1234,2,5,448,779
2016,대구강북서,1413,2,4,541,866
2016,인천중부서,2522,3,2,748,1769
2016,인천남부서,5131,12,17,1675,3427
2016,인천남동서,5660,5,19,1802,3834
2016,인천부평서,2936,3,5,1190,1738
2016,인천서부서,3892,9,14,1170,2699
2016,인천계양서,2856,8,14,849,1985
2016,인천강화서,519,0,1,120,398
2016,인천연수서,2687,6,8,1058,1615
2016,인천삼산서,3789,2,8,1407,2372
2016,광주동부서,1985,3,8,832,1142
2016,광주서부서,3718,2,11,1417,2288
2016,광주북부서,3943,6,7,1788,2142
2016,광주광산서,3268,5,17,1247,1999
2016,광주남부서,1801,1,4,768,1028
2016,대전중부서,3729,3,6,1472,2248
2016,대전동부서,3022,7,7,1340,1668
2016,대전서부서,2291,1,5,1032,1253
2016,대전대덕서,1859,6,8,801,1044
2016,대전둔산서,2694,3,4,1085,1602
2016,대전유성서,2621,5,5,1253,1358
2016,울산남부서,4443,9,13,1509,2912
2016,울산중부서,3430,8,12,1183,2227
2016,울산울주서,2091,4,5,716,1366
2016,울산동부서,2101,1,3,809,1288
2016,경기수원중부서,4271,7,6,1585,2673
2016,경기수원남부서,5858,13,12,2538,3295
2016,경기수원서부서,3431,9,8,1511,1903
2016,경기안양동안서,2623,6,4,959,1654
2016,경기안양만안서,3112,4,3,1039,2066
2016,경기군포서,2258,1,3,838,1416
2016,경기성남수정서,2959,4,2,1193,1760
2016,경기성남중원서,3142,5,2,1211,1924
2016,경기분당서,3450,0,13,1566,1871
2016,경기부천소사서,2051,4,3,958,1086
2016,경기부천원미서,6299,8,13,2755,3523
2016,경기부천오정서,2003,5,1,762,1235
2016,경기광명서,3301,2,4,1221,2074
2016,경기안산단원서,5424,16,8,1994,3406
2016,경기안산상록서,3726,8,11,1294,2413
2016,경기시흥서,4666,15,9,1501,3141
2016,경기평택서,5660,10,8,1812,3830
2016,경기화성동부서,5075,10,2,1958,3105
2016,경기화성서부서,2511,8,3,932,1568
2016,경기용인동부서,4138,12,5,1496,2625
2016,경기용인서부서,2383,3,0,965,1415
2016,경기광주서,2686,13,4,880,1789
2016,경기과천서,463,1,1,160,301
2016,경기의왕서,805,2,1,234,568
2016,경기하남서,1323,3,0,529,791
2016,경기이천서,2135,1,2,634,1498
2016,경기김포서,2314,4,6,1007,1297
2016,경기안성서,1913,6,3,785,1119
2016,경기여주서,1142,7,0,448,687
2016,경기양평서,821,7,2,281,531
2016,경기의정부서,5094,13,17,1752,3312
2016,경기고양서,3194,4,8,1123,2059
2016,경기일산동부서,4032,7,3,1458,2564
2016,경기일산서부서,63,0,0,22,41
2016,경기남양주서,4896,10,9,1476,3401
2016,경기파주서,3387,5,4,1293,2085
2016,경기양주서,1772,2,2,446,1322
2016,경기동두천서,1074,1,0,344,729
2016,경기구리서,2486,6,1,936,1543
2016,경기포천서,1668,6,3,548,1111
